contrast,energy,homogenity,correlation,out
141.404336,0.879482855,0.90646874,0.980117582,TUMOR
30.70180924,0.974618412,0.983786,0.905379891,TUMOR
186.3579776,0.958439005,0.967552495,0.892252088,TUMOR
131.0847214,0.968686998,0.973966446,0.948955149,TUMOR
96.26502998,0.960782637,0.974205506,0.941308133,TUMOR
40.6567321,0.989955168,0.991836569,0.912444816,TUMOR
25.69850341,0.975083979,0.984678985,0.934505443,TUMOR
49.12713341,0.986548754,0.99177841,0.958411409,TUMOR
617.9744503,0.877892453,0.9483445,0.945566656,TUMOR
61.96876121,0.986597694,0.989311495,0.925258214,TUMOR
126.097176,0.926589807,0.947784579,0.97337533,TUMOR
429.7520629,0.90076043,0.913363039,0.93450196,TUMOR
0.200989186,0.984476451,0.993741747,0.97131605,TUMOR
425.3683563,0.971088399,0.976388588,0.669168287,TUMOR
187.4464661,0.944884014,0.955066126,0.939792225,TUMOR
101.1130644,0.961872511,0.970296822,0.936520207,TUMOR
0.502152632,0.979777428,0.988377403,0.998428987,TUMOR
208.6548614,0.917742239,0.930582167,0.954999652,TUMOR
159.7821229,0.965437391,0.973438934,0.860622712,TUMOR
411.0116088,0.929773922,0.942213607,0.909931022,TUMOR
49.89667367,0.993619226,0.994865733,0.910774873,TUMOR
35.78760699,0.976685138,0.986902499,0.86907826,TUMOR
16.29883143,0.978367677,0.993624506,0.878839738,TUMOR
2.111065553,0.97977895,0.988651774,0.730173764,TUMOR
621.8514171,0.957291634,0.963109225,0.705525406,TUMOR
0.397211829,0.979798203,0.988724511,0.923727973,TUMOR
0.001537594,0.998463188,0.999231203,-0.000633936,TUMOR
2.089539234,0.980043476,0.99178201,0.417129761,TUMOR
120.6301573,0.977833541,0.980805603,0.9043158,TUMOR
145.6585772,0.950516383,0.957471731,0.96354282,TUMOR
145.3778894,0.936039665,0.950352698,0.975307511,TUMOR
141.3257393,0.898741199,0.925840201,0.976365304,TUMOR
0.063015735,0.983252393,0.99158614,0.641198927,TUMOR
0.019168674,0.979950931,0.992445287,0.572055871,TUMOR
25.38345036,0.98001516,0.984667336,0.874921587,TUMOR
91.88332223,0.912929545,0.934847182,0.981766199,TUMOR
175.496156,0.936832371,0.965294912,0.960830574,TUMOR
111.8092102,0.975296475,0.978160344,0.944401483,TUMOR
0.393290964,0.979932814,0.99417537,0.906485636,TUMOR
101.658936,0.951570275,0.961311119,0.973523893,TUMOR
87.38855005,0.98016556,0.982114428,0.945388769,TUMOR
48.84721439,0.959206091,0.973735654,0.968409118,TUMOR
14.68597202,0.997821772,0.998059101,0.923470125,TUMOR
88.42112142,0.933868057,0.944466952,0.975688325,TUMOR
28.79314233,0.972651549,0.984781343,0.939266505,TUMOR
62.89393163,0.978192327,0.98091994,0.95284159,TUMOR
68.814233,0.927022642,0.942547147,0.986759371,TUMOR
51.17018605,0.966433154,0.976740809,0.966747009,TUMOR
4.231100405,0.996003873,0.998144078,0.413742089,TUMOR
1.343498539,0.980282097,0.993780734,0.607427465,TUMOR
20.77812516,0.99661734,0.996963588,0.92371188,TUMOR
0.697529599,0.980192116,0.993356503,0.103819428,TUMOR
30.59886731,0.992081586,0.993283916,0.946913284,TUMOR
0.028932397,0.979844809,0.992450315,0.678937142,TUMOR
121.0810825,0.961458285,0.974102935,0.923540432,TUMOR
79.38947261,0.981446714,0.983339373,0.954969299,TUMOR
0.011070678,0.979829234,0.994464661,0.618075402,TUMOR
0.346214956,0.999256886,0.999589977,0.021664944,TUMOR
1.776818205,0.99119057,0.995897494,0.842885949,TUMOR
0.002203885,0.998488299,0.999359336,0.560996428,TUMOR
0,1,1,1,TUMOR
